No.,Title,Artist,Year,duration_sec
17,Now Is the Hour,Gracie Fields,1948,186
18,Beg Your Pardon,Francis Craig,1948,264
19,"You Can't Be True, Dear",Ken Griffin,1948,157.813
20,Toolie Oolie Doolie,The Andrews Sisters,1948,171.8
21,Buttons and Bows,Dinah Shore,1948,121.6
22,Golden Earrings,Peggy Lee,1948,178.8
23(Tie),Baby Face,Art Mooney,1948,333.106
23(Tie),Too Fat Polka,Arthur Godfrey,1948,226.946
24(Tie),Because,Perry Como,1948,169.2
24(Tie),My Happiness,Ella Fitzgerald,1948,199.133
25,Serenade of the Bells,Sammy Kaye,1948,152.333
26,Until,Tommy Dorsey,1948,218.173
27,William Tell Overture,Spike Jones,1948,197.293
28,Beg Your Pardon,Frankie Carle,1948,128.089
29(Tie),St. Louis Blues March,Tex Beneke,1948,214.666
29(Tie),Underneath the Arches,Primo Scala,1948,200.531
30(Tie),On a Slow Boat to China,Kay Starr,1948,114.226
30(Tie),Woody Woodpecker,The Sportsmen and Mel Blanc,1948,275.106
31,I'll Dance at Your Wedding,Ray Noble and Buddy Clark,1948,190.333
32,The Dicky-Bird Song,Freddy Martin,1948,197.88
33,I'm Looking Over a Four Leaf Clover,Russ Morgan and Milt Herth,1948,156.626
34,How Soon,Vaughn Monroe,1948,187.428
35,Serenade of the Bells,Jo Stafford,1948,177.16
1,Riders in the Sky,Vaughn Monroe,1949,176.706
2,That Lucky Old Sun,Frankie Laine,1949,179.466
3,You're Breaking My Heart,Vic Damone,1949,203.2
4,Some Enchanted Evening,Perry Como,1949,206.6
5,Slippin' Around,Jimmy Wakely and Margaret Whiting,1949,245.066
6,"I Can Dream, Can't I?",The Andrews Sisters and Gordon Jenkins,1949,160
7,Cruising Down the River,Russ Morgan Orchestra,1949,154.947
8,A Little Bird Told Me,Evelyn Knight and The Stardusters,1949,316.053
9,Mule Train,Frankie Laine,1949,151.266
10,Jealous Heart,Al Morgan,1949,129.156
11,Cruising Down the River,Blue Barron Orchestra,1949,172.852
12,Someday,Vaughn Monroe,1949,191.133
13,Again,Gordon Jenkins Orchestra,1949,171.653
14,Forever and Ever,Russ Morgan,1949,171.773
15,Forever and Ever,Perry Como,1949,203.293
16,"Don't Cry, Joe",Gordon Jenkins Orchestra,1949,193.04
17,Room Full of Roses,Sammy Kaye,1949,229.2
18,Far Away Places,Bing Crosby and Ken Darby Choir,1949,205.293
19,Buttons and Bows,Dinah Shore,1949,121.6
20,Galway Bay,Bing Crosby,1949,182.8
21,Red Roses for a Blue Lady,Vaughn Monroe,1949,177.4
22,So Tired,Russ Morgan,1949,218.358
23,Powder Your Face with Sunshine,Evelyn Knight,1949,134.066
24,"Baby, It's Cold Outside",Johnny Mercer and Margaret Whiting,1949,171.04
25,Whispering Hope,Jo Stafford and Gordon MacRae,1949,212.666
26,Maybe It's Because,Dick Haymes,1949,184.2
27,Careless Hands,Sammy Kaye Orchestra,1949,208.965
28,'A' You're Adorable,Perry Como and The Fontane Sisters,1949,144
29,The Hucklebuck,Tommy Dorsey Orchestra and Charlie Shavers,1949,175.773
30,I Don't See Me in Your Eyes Anymore,Gordon Jenkins Orchestra and The Stardusters,1949,192.44
1,Goodnight Irene,Gordon Jenkins & The Weavers,1950,202.24
2,Mona Lisa,Nat King Cole,1950,194.986
3,Third Man Theme,Anton Karas,1950,135.627
4,Sam's Song,Gary & Bing Crosby,1950,175.2
5,Simple Melody,Gary & Bing Crosby,1950,175.693
6,"Music, Music, Music",Teresa Brewer,1950,162.4
7,Third Man Theme,Guy Lombardo,1950,177.333
8,Chattanoogie Shoe Shine Boy,Red Foley,1950,169
9,Harbor Lights,Sammy Kaye,1950,202.626
10,It Isn't Fair,Sammy Kaye & Don Cornell,1950,187.82
11,If I Knew You Were Coming I'd have Baked a Cake,Eileen Barton,1950,156.76
12,Bonaparte's Retreat,Kay Starr,1950,157.973
13,"Tzena, Tzena, Tzena",Gordon Jenkins & The Weavers,1950,165.906
14,There's No Tomorrow,Tony Martin,1950,195.16
15,The Thing,Phil Harris,1950,141.505
16,Sentimental Me,Ames Brothers,1950,205.893
17,I Wanna Be Loved,Andrews Sisters & Gordon Jenkins,1950,197.973
18,Tennessee Waltz,Patti Page,1950,181.106
19,"I Can Dream, Can't I",Andrews Sisters & Gordon Jenkins,1950,160
20,I'll Never Be Free,Tennessee Ernie Ford & Kay Starr,1950,158
21,All My Love,Patti Page,1950,194.48
22,My Foolish Heart,Gordon Jenkins,1950,175.693
23,Rag Mop,Ames Brothers,1950,166.533
24,Bewitched,Bill Snyder,1950,193.106
25,Hoop-Dee-Doo,Perry Como,1950,175.96
26,Bewitched,Gordon Jenkins,1950,216.24
27,Can Anyone Explain?,Ames Brothers,1950,181.933
28,My Foolish Heart,Billy Eckstine,1950,183.573
29,Dear Hearts and Gentle People,Bing Crosby,1950,161.293
30,The Cry of the Wild Goose,Frankie Laine,1950,172.84
1,Too Young,Nat King Cole,1951,204.626
2,Because of You,Tony Bennett,1951,242.04
3,How High the Moon,Les Paul & Mary Ford,1951,127.266
4,Come on-a My House,Rosemary Clooney,1951,116.933
5,Be My Love,Mario Lanza,1951,209.328
6,On Top of Old Smoky,The Weavers,1951,163.266
7,"Cold, Cold Heart",Tony Bennett,1951,195.426
8,Ataypura!,Yma Sumac,1951,184.266
9,The Loveliest Night of the Year,Mario Lanza,1951,214.506
10,Tennessee Waltz,Patti Page,1951,181.106
11,Jezebel,Frankie Laine,1951,190.36
12,I Get Ideas,Tony Martin,1951,159.466
13,Mockin' Bird Hill,Les Paul & Mary Ford,1951,140.133
14,Mockin' Bird Hill,Patti Page,1951,178.866
15,My Heart Cries for You,Guy Mitchell & Mitch Miller,1951,117.973
16,(It's No) Sin,Eddy Howard,1951,168.506
17,Sound Off,Vaughn Monroe,1951,163.986
18,Sweet Violets,Dinah Shore,1951,167.933
19,The World Is Waiting for the Sunrise,Les Paul & Mary Ford,1951,132.973
20,"My Truly, Truly Fair",Guy Mitchell & Mitch Miller,1951,169.04
21,(It's No) Sin,The Four Aces,1951,189.946
22,Aba Daba Honeymoon,Debbie Reynolds & Carleton Carpenter,1951,194.333
23,"Rose, Rose, I Love You",Frankie Laine,1951,152.306
24,Down Yonder,Del Wood,1951,146.52
25,I Apologize,Billy Eckstine,1951,171.986
26,"Would I Love You (Love You, Love You)",Patti Page,1951,173.44
27,You're Just in Love,Perry Como & The Fontane Sisters,1951,175.213
28,Undecided,Ames Brothers with The Les Brown Orchestra,1951,172.027
29,The Thing,Phil Harris,1951,141.505
30,Because of You,Les Baxter,1951,170.8
1,Blue Tango,Leroy Anderson,1952,169.426
2,Wheel of Fortune,Kay Starr,1952,189.666
3,Cry,Johnnie Ray & The Four Lads,1952,182.773
4,You Belong to Me,Jo Stafford,1952,193.666
5,Auf Wiederseh'n Sweetheart,Vera Lynn,1952,158.146
6,Half as Much,Rosemary Clooney,1952,166.373
7,Wish You Were Here,Eddie Fisher,1952,176.971
8,I Went to Your Wedding,Patti Page,1952,195.533
9,Here in My Heart,Al Martino,1952,184.133
10,Delicado,Percy Faith,1952,171.333
11,Kiss of Fire,Georgia Gibbs,1952,146.626
12,Anytime,Eddie Fisher,1952,155.493
13,Tell Me Why,The Four Aces,1952,190.893
14,Blacksmith Blues,Ella Mae Morse,1952,181.466
15,Jambalaya (On the Bayou),Jo Stafford,1952,153.906
16,Botch-a-Me (Ba-Ba-Baciami Piccina),Rosemary Clooney,1952,136.866
17,A Guy Is a Guy,Doris Day,1952,159.506
18,The Little White Cloud That Cried,Johnnie Ray,1952,133.933
19,High Noon,Frankie Laine,1952,159.773
20,I'm Yours,Eddie Fisher,1952,169.6
21,The Glow-Worm,Mills Brothers,1952,160.866
22,It's in the Book,Johnny Standley,1952,183.72
23,Slow Poke,Pee Wee King,1952,182.066
24,Walkin' My Baby Back Home,Johnnie Ray,1952,140.306
25,Meet Mister Callaghan,Les Paul,1952,112.2
26,I'm Yours,Don Cornell,1952,170.581
27,I'll Walk Alone,Don Cornell,1952,158.79
28,Tell Me Why,Eddie Fisher,1952,153.547
29,Trying,The Hilltoppers,1952,185.351
30,"Please, Mr. Sun",Johnnie Ray & The Four Lads,1952,483.866
1,The Song from Moulin Rouge,Percy Faith,1953,346.733
2,Vaya con Dios,Les Paul & Mary Ford,1953,174.6
3,(How Much Is) That Doggie in the Window?,Patti Page,1953,149.626
4,I'm Walking Behind You,Eddie Fisher,1953,186.331
5,"You, You, You",Ames Brothers,1953,175.619
6,Till I Waltz Again with You,Teresa Brewer,1953,181.04
7,April in Portugal,Les Baxter,1953,162.96
8,No Other Love,Perry Como,1953,194.733
9,Don't Let the Stars Get in Your Eyes,Perry Como,1953,160.773
10,I Believe,Frankie Laine,1953,127.706
11,Oh,Pee Wee Hunt,1953,161.093
12,Ebb Tide,Frank Chacksfield,1953,217.266
13,Pretend,Nat King Cole,1953,164.4
14,Ruby,Richard Hayman,1953,237.877
15,St. George and the Dragonet,Stan Freberg,1953,207.573
16,P.S. I Love You,The Hilltoppers,1953,163.546
17,Tell Me You're Mine,The Gaylords,1953,169.333
18,"Eh, Cumpari!",Julius La Rosa,1953,147.562
19,Rags to Riches,Tony Bennett,1953,168.48
20,Anna,Silvana Mangano,1953,148.958
21,Say You're Mine Again,Perry Como,1953,173.933
22,Dragnet,Ray Anthony,1953,172.306
23,Tell Me a Story,Jimmy Boyd & Frankie Laine,1953,130.933
24,Crying in the Chapel,June Valli,1953,165.266
25,Why Don't You Believe Me?,Joni James,1953,176.093
26,Your Cheatin' Heart,Joni James,1953,171.693
27,Limelight (Terry's Theme),Frank Chacksfield,1953,140.533
28,With These Hands,Eddie Fisher,1953,168.463
29,C'est si bon,Eartha Kitt,1953,179.106
30,Have You Heard?,Joni James,1953,181.213
