No.,Title,Artist,Year,duration_sec,genre
1,My Sharona,The Knack,1979,295.4,power pop
2,Bad Girls,Donna Summer,1979,295.106,disco
3,Le Freak,Chic,1979,210.246,disco
1,Call Me,Blondie,1980,212.226,NA
2,"Another Brick in the Wall, Part II",Pink Floyd,1980,309.405,NA
3,Magic,Olivia Newton-John,1980,271.666,NA
1,Bette Davis Eyes,Kim Carnes,1981,228,NA
2,Endless Love,Diana Ross & Lionel Richie,1981,268.293,motown
3,Lady,Kenny Rogers,1981,231.866,country
1,Physical,Olivia Newton-John,1982,222.4,NA
2,Eye of the Tiger,Survivor,1982,243.773,NA
3,I Love Rock 'n Roll,Joan Jett & The Blackhearts,1982,175.173,rock
1,Every Breath You Take,The Police,1983,253.92,NA
2,Billie Jean,Michael Jackson,1983,294.226,NA
3,Flashdance... What a Feeling,Irene Cara,1983,237.053,NA
1,When Doves Cry,Prince,1984,354.133,funk rock
2,What's Love Got to Do with It,Tina Turner,1984,226.88,NA
3,Say Say Say,Paul McCartney and Michael Jackson,1984,229.974,NA
1,Careless Whisper,Wham!,1985,299.8,NA
2,Like a Virgin,Madonna,1985,218.626,NA
3,Wake Me Up Before You Go-Go,Wham!,1985,231.333,christmas
1,That's What Friends Are For,"Dionne and Friends (Dionne Warwick, Gladys Knight, Elton John and Stevie Wonder)",1986,255.933,NA
2,"Say You, Say Me",Lionel Richie,1986,241.066,motown
3,I Miss You,Klymaxx,1986,333.266,new jack swing
1,Walk Like An Egyptian,The Bangles,1987,204.706,jangle pop
2,Alone,Heart,1987,218.733,classic rock
3,Shake You Down,Gregory Abbott,1987,245.413,NA
1,Faith,George Michael,1988,193.2,NA
2,Need You Tonight,INXS,1988,180.517,NA
3,Got My Mind Set on You,George Harrison,1988,234.653,NA
1,Look Away,Chicago,1989,240.653,soft rock
2,My Prerogative,Bobby Brown,1989,291.56,new jack swing
3,Every Rose Has Its Thorn,Poison,1989,260.224,glam metal
1,Hold On,Wilson Phillips,1990,266.866,NA
2,It Must Have Been Love,Roxette,1990,259.665,NA
3,Nothing Compares 2 U,Sinéad O'Connor,1990,257.533,soul
1,(Everything I Do) I Do It for You,Bryan Adams,1991,394.133,NA
2,I Wanna Sex You Up,Color Me Badd,1991,240.2,new jack swing
3,Gonna Make You Sweat (Everybody Dance Now),C+C Music Factory,1991,244.093,NA
1,End of the Road,Boyz II Men,1992,351.466,new jack swing
2,Baby Got Back,Sir Mix-a-Lot,1992,262.826,NA
3,Jump,Kris Kross,1992,195.106,NA
1,I Will Always Love You,Whitney Houston,1993,271.093,NA
2,Whoomp! (There It Is),Tag Team,1993,225.266,miami bass
3,Can't Help Falling in Love,UB40,1993,207.44,reggae
1,The Sign,Ace of Base,1994,191.24,eurodance
2,I Swear,All-4-One,1994,259.853,NA
3,I'll Make Love to You,Boyz II Men,1994,236.773,new jack swing
1,Gangsta's Paradise,Coolio featuring L.V.,1995,241,NA
2,Waterfalls,TLC,1995,279.506,NA
3,Creep,TLC,1995,268.533,NA
1,Macarena (Bayside Boys Mix),Los del Rí­o,1996,217.94,gqom
2,One Sweet Day,Mariah Carey and Boyz II Men,1996,279.407,NA
3,Because You Loved Me,Celine Dion,1996,273.666,variÃ©tÃ© franÃ§aise
1,"Candle in the Wind 1997"" / ""Something About the Way You Look Tonight",Elton John,1997,240.546,NA
2,"You Were Meant for Me"" / ""Foolish Games",Jewel,1997,372,spoken word
3,I'll Be Missing You,Puff Daddy and Faith Evans featuring 112,1997,305.568,NA
1,Too Close,Next,1998,259.44,r&b
2,The Boy Is Mine,Brandy and Monica,1998,213.384,pop
3,You're Still the One,Shania Twain,1998,212.224,country
1,Believe,Cher,1999,239.026,NA
2,No Scrubs,TLC,1999,214.4,NA
3,Angel of Mine,Monica,1999,250.173,r&b
1,Breathe,Faith Hill,2000,250.546,country
2,Smooth,Santana featuring Rob Thomas,2000,235.23,NA
