No.,Title,Artist,Year,duration_sec,genre,url,lyrics
2,That Lucky Old Sun,Frankie Laine,1949,179.466,NA,https://www.songlyrics.com/frankie-laine/that-lucky-old-sun-lyrics/,"Up in the mornin'
Out on the job
Work like the devil for my pay
But that lucky old sun got nothin' to do
But roll around heaven all day
Show me that river, take me across
Wash all my troubles away
Like that lucky old sun, give me nothing to do
But roll around heaven all day
Right from the dwanin' through till the evening
Nothin' but slavin'
And all the time I pray
Weary, so weary
(Up in the mornin', out on the job)
Work like the devil for my pay
But that lucky old sun got nothin' to do
But roll around heaven all day
Fuss with my woman, toil for my kids
Sweat till I'm wrinkled and gray
While that lucky old sun has nothin' to do
But roll around heaven all day
Good Lord above, can't You know I'm pining
Tears all in my eyes
Send down that cloud with a silver lining
Lift me to Paradise
Show me that river, take me across
Wash all my troubles away
Like that lucky old sun, give me nothing to do
But roll around heaven all day"
3,You're Breaking My Heart,Vic Damone,1949,203.2,adult standards,https://www.songlyrics.com/vic-damone/youre-breaking-my-heart-lyrics/,"You're breaking my heart 'cause you're leaving
You've fallen for somebody new
It isn't too easy believing
You'd leave after all we've been through
It's breaking my heart to remember
The dreams we depended upon
You're leaving a slow dying ember
I'll miss you, my love, when you're gone
I wish you joy, though teardrops burn
But if some day you should want to return
Please hurry back and we'll make a new start
Till then you're breaking my heart"
1,Goodnight Irene,Gordon Jenkins & The Weavers,1950,202.24,christmas,https://www.songlyrics.com/gordon-jenkins-and-the-weavers/goodnight-irene-lyrics/,NA
2,Mona Lisa,Nat King Cole,1950,194.986,christmas,https://www.songlyrics.com/nat-king-cole/mona-lisa-lyrics/,"Mona Lisa, Mona Lisa, men have named you
You're so like the lady with the mystic smile
Is it only 'cause you're lonely, they have blamed you
For that Mona Lisa strangeness in your smile?
Do you smile to tempt a lover, Mona Lisa?
Or is this your way to hide a broken heart?
Many dreams have been brought to your doorstep
They just lie there and they die there
Are you warm, are you real, Mona Lisa?
Or just a cold and lonely, lovely work of art?
Do you smile to tempt a lover, Mona Lisa?
Or is this your way to hide a broken heart?
Many dreams have been brought to your doorstep
They just lie there and they die there
Are you warm, are you real, Mona Lisa?
Or just a cold and lonely, lovely work of art?
Mona Lisa, Mona Lisa"
3,Third Man Theme,Anton Karas,1950,135.627,NA,https://www.songlyrics.com/anton-karas/third-man-theme-lyrics/,"When a zither starts to play
you'll remember yesterday
in its haunting strain
vienna lives again
free and bright and gay
in your mind a sudden gleam
of a half forgotten dream
seems to glimmer when you hear the third man theme
Once again there comes to mind
someone that you left behind
love that somehow didn't last
in that happy city of the past
does she still recall the dream
that rapture so supreme
when first she heard the haunting third man theme?
Carnivals and carousels and ferris wheels and parasols
the danube nights, the dancing lights again will shine
the zither's sweet refrain
keeps swirling in your brain
like new may wine
strauss waltzes, candle-glow
and the laughter of long ago
fill the magic chords and make it seem like today
You never knew that you could be
enchanted by a melody
the years will never drive it out
you don't know why
it's something you can't live without
you hear it in the twilight hush
and in the morning traffic rush
a song that's always new
in your heart a part of you
oh, shines so brightly when you hear the third man theme
When a zither starts to play
you'll remember yesterday
in its haunting strain
vienna lives again
free and bright and gay
in your mind a sudden gleam
of a well remembered dream
seems to glimmer when you hear the third man theme
Once again there comes to mind
someone that you left behind
love that somehow didn't last
in that happy city of the past
does she still recall the dream
that rapture so supreme
when first she heard the haunting third man theme?
Carnivals and carousels and ferris wheels and parasols
the danube nights, the dancing lights again will shine
the zither's sweet refrain
keeps swirling in your brain
like new may wine
strauss waltzes, candle-glow
and the laughter of long ago
fill the magic chords and make it seem like today
You never knew that you could be
enchanted by a melody
the years will never drive it out
you don't know why
it's something you can't live without
you hear it in the twilight hush
and in the morning traffic rush
a song that's always new
in your heart a part of you
oh, shines so brightly when you hear the third man theme"
1,Too Young,Nat King Cole,1951,204.626,christmas,https://www.songlyrics.com/nat-king-cole/too-young-lyrics/,"They try to tell us we're too young
Too young to really be in love
They say that love's a word
A word we've only heard
But can't begin to know the meaning of
And yet we're not too young to know
This love will last though years may go
And then someday they may recall
We were not too young at all
And yet we're not too young to know
This love will last though years may go
And then someday they may recall
We were not too young at all"
2,Because of You,Tony Bennett,1951,242.04,vocal jazz,https://www.songlyrics.com/tony-bennett/because-of-you-lyrics/,"Because of you there's a song in my heart
Because of you my romance had it's start
Because of you the sun will shine
The moon and stars will say you're mine
Forever and never to part
I only live for your love and your kiss
It's paradise to be near you like this
Because of you my life is now worth while
And I can smile because of you
I only live for your love and your kiss
It's paradise to be near you like this
Because of you my life is now worth while
And I can smile because of you"
3,How High the Moon,Les Paul & Mary Ford,1951,127.266,NA,https://www.songlyrics.com/les-paul-and-mary-ford/how-high-the-moon-lyrics/,NA
1,Blue Tango,Leroy Anderson,1952,169.426,christmas,https://www.songlyrics.com/leroy-anderson/blue-tango-lyrics/,"Blue skies
Calling on blue skies
Don't take them away boys
Don't take them away
'Cause I'll never stop
I've been to both knees
Raise my hands up to the sky, forgive me
Is something out there far beyond the clouds
I'm asking help me
Help me to see the world
Through baby eyes and hold me closely
I need a fresh start on the roller-coaster made for coasting
It's time to wake up
Time to make up
Time to shake these memories
It's time to leave the past in the past and lace up a new set of shoe strings
I want the world to know
I've got your back
Through up and down see
So we can sit together
Side by side through amazing
Blue skies
Calling on blue skies
Don't take them away boys
Don't take them away
'Cause I'll never stop
So, I've broken every bone
And fought through what felt never ending
I thought my head was made of sadness
But my heart is mending
I scream at sunsets
Give applause to what I can't control
Then somehow laugh at how the moon divides an ocean solar
I wanna be that ocean
I want to shine like that
I want to smile so big my daughter jumps into my lap
And I wanna tell her daddies fine and always plans to be
Then take her in my arms
This is what we'll always see
With blue skies
Calling on blue skies
Never take them away boys
Don't take them away
And when I'm gone
I won't go screaming in the end
I'll give you everything my life amounts to
So raise your life up with me
And baby let's go dancing
Blue skies
Calling on blue skies
Don't take them away boys
Don't take them away
Well I've broken every bone
And fought through what felt never ending
I thought my head was made of sadness
My heart is mending
I scream at sunsets
Give applause to what I can't control
Then somehow laugh at how the moon divides an ocean solar
I wanna be that ocean
I wanna shine like that
I wanna smile so big my daughter jumps into my lap
And I wanna tell her daddies fine
And always plans to be
Then take her in my arms
This is what we'll always see
Just blue skies
Calling on blue skies
I'll never take them away girl
I'll never take them away
Cause I'll never stop
Loving my blue skies"
2,Wheel of Fortune,Kay Starr,1952,189.666,christmas,https://www.songlyrics.com/kay-starr/wheel-of-fortune-lyrics/,"The wheel of fortune
Goes spinning around
Will the arrow point my way?
Will this be my day?
Oh, wheel of fortune
Please don't pass me by
Let me know the magic of
A kiss and a sigh
While the wheel is spining, spinning, spinning
I'll not dream of winning fortune or fame
While the wheel is turning, turning, turning
I'll be yearning, yearning for love's precious flame
Oh, wheel of fortune
I'm hoping somehow
If you'll ever smile on me
Please let it be now
While the wheel is spining, spinning, spinning
I'll not dream of winning fortune or even fame
While the wheel is turning, turning, turning
I'll be yearning, yearning for love's precious flame
Oh, wheel of fortune
I'm hoping somehow
If you ever smile on me
Please let it be now"
