No.,Title,Artist,Year,duration_sec,genre,url,lyrics
3,I Can't Get Next to You,The Temptations,1969,174.933,motown,https://www.songlyrics.com/the-temptations/i-cant-get-next-to-you-lyrics/,"Hold it, everybody
Hold it, hold it, listen
I can turn the gray sky blue
I can make it rain whenever I want it to
Oh, I can build a castle from a single grain of sand
I can make a ship sail, huh, on dry land
But my life is incomplete and I'm so blue
'Cause I can't get next to you
Next to you
I just can't get next you
I can fly like a bird in the sky
Hey, and I can buy anything that money can buy
Oh, I can turn a river into a raging fire
I can live forever if I so desire
Unimportant are all the things I can do
'Cause I can't get next to you
No matter what I do
Uh-yah
Ooh
Ooh
Chicka boom, chicka boom
Chicka boom, boom, boom
I can turn back the hands of time
You better believe I can
I can make the seasons change just by waving my hand
Oh, I can change anything from old to new
The things I want to do the most, I'm unable to do
Unhappy am I with all the powers I possess
'Cause girl you're the key to my happiness
And I can't get next to you
Girl, you're blowing my mind
'Cause I can't get [(next to you)]
Can't you see these tears I'm crying?
I can't get [(next to you)]
Girl, it's you that I need
I gotta get [(next to you)]
Can't you see these tears I'm crying?
I can't get [(next to you)]
I, I, I, I
I can't get [(next to you)]
I, I, I, I
I can't get [(next to you)]
Girl, you're blowing my mind"
1,Bridge Over Troubled Water,Simon & Garfunkel,1970,293.12,folk rock,https://www.songlyrics.com/simon-and-garfunkel/bridge-over-troubled-water-lyrics/,"Simon And Garfunkel
Bridge Over Troubled Water
Bridge Over Troubled Water
When you're weary, feeling small 
When tears are in your eyes, 
I will dry them all 
I'm on your side 
When times get rough 
And friends just can't be found 
Like a bridge over troubled water 
I will lay me down 
Like a bridge over troubled water 
I will lay me down 
When you're down and out 
When you're on the street 
When evening falls so hard 
I will comfort you 
I'll take your part 
When darkness comes 
And pain is all around 
Like a bridge over troubled water 
I will lay me down 
Like a bridge over troubled water 
I will lay me down 
Sail on silver girl 
Sail on by 
Your time has come to shine 
All your dreams are on their way 
See how they shine 
When you need a friend 
I'm sailing right behind 
Like a bridge over troubled water 
I will ease your mind 
Like a bridge over troubled water 
I will ease your mind"
2,(They Long to Be) Close to You,The Carpenters,1970,276,christmas,https://www.songlyrics.com/the-carpenters/they-long-to-be-close-to-you-lyrics/,"Why do birds suddenly appear
Everytime you are near?
Just like me they long to be
Close to you
Why do stars fall down from the sky
Everytime you walk by?
Just like me they long to be
Close to you
On the day that you were born
The angels got together
And decided to create a dream come true
So they sprinkled moondust in your hair
Of gold and starlight in your eyes of blue
That is why all the girls in town
Follow you all around
Just like me they long to be
Close to you
On the day that you were born
The angels got together
And decided to create a dream come true
So they sprinkled moondust in your hair
Of gold and starlight in your eyes of blue
That is why all the girls in town
Follow you all around
Just like me they long to be
Close to you
Just like me they long to be
Close to you
Close to you
Close to you
Close to you
Close to you"
3,American Woman,The Guess Who,1970,231.835,classic rock,https://www.songlyrics.com/the-guess-who/american-woman-lyrics/,"Umm
Taa taana
Umm
Taa taana
Umm umm
Taa taana
American woman gonna mess your mind
American woman, she gonna mess your mind
Umm, American woman gonna mess your mind
Umh, American woman gonna mess your mind
Say A
Say M, umm
Say E
Say R
Say I
Say C
Say A
N, umm
American woman gonna mess your mind
Umm, American woman gonna mess your mind
Umh, American woman gonna mess your mind
Uuh
American woman, stay away from me
American woman, mama let me be
Don't come hangin' around my door
I don't wanna see your face no more
I got more important things to do
Than spend my time growin' old with you
Now woman, I said stay away
American woman, listen what I say
American woman, get away from me
American woman, mama let me be
Don't come knockin' around my door
Don't wanna see your shadow no more
Colored lights can hypnotize
Sparkle someone elses eyes
Now woman, I said get away
American woman, listen what I say
Hey hey
American woman, said get away
American woman, listen what I say
Don't come hangin' around my door
Don't wanna see your face no more
I don't need your war machines
I don't need your ghetto scenes
Colored lights can hypnotize
Sparkle someone elses eyes
Now woman, get away from me
American woman, mama let me be
Go, gotta get away, gotta get away
Now go, go, go
I'm gonna leave you, woman
Gonna leave you, woman
Bye bye
Bye bye
Bye bye
Bye bye
You're no good for me
I'm no good for you
Gonna look you right in the eye
Tell you what I'm gonna do
You know I'm gonna leave
You know I'm gonna go
You know I'm gonna leave
You know I'm gonna go, woman
I'm gonna leave, woman
Goodbye, American woman"
1,Joy to the World,Three Dog Night,1971,220.573,NA,https://www.songlyrics.com/three-dog-night/joy-to-the-world-lyrics/,"Jeremiah was a bull frog
Was a good friend of mine
I never understood a single word he said
But I helped him drink his wine
And he always had some mighty fine wine
Singin'
Joy to the world
All the boys and girls, now
Joy to the fishes in the deep blue sea
Joy to you and me
If I were the king of the world
Tell you what I'd do
I'd throw away the cars and the bars and the wars
Make sweet love to you
Singin' now
Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me
You know I love the ladies
Love to have my fun
I'm a high night flier and a rainbow rider
A straight-shootin' son of a gun
I said a straight shootin' son of a gun
Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me
Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me
Joy to the world
All the boys and girls
Joy to the world
Joy to you and me
Joy to the world
All the boys and girls, now
Joy to the fishes in the deep blue sea
Joy to you and me
Joy to the world
All the boys and girls
Joy to the fishes in the deep blue sea
Joy to you and me"
2,"Maggie May""/""Reason to Believe",Rod Stewart,1971,350.146,soft rock,https://www.songlyrics.com/rod-stewart/maggie-may-lyrics/,"Wake up Maggie I think I got something to say to you
It's late September and I really should be back at school
I know I keep you amused but I feel I'm being used
Oh Maggie I couldn't have tried any more
You lured me away from home just to save you from being alone
You stole my heart and that's what really hurts
The morning sun when it's in your face really shows your age
But that don't worry me none in my eyes you're everything
I laughed at all of your jokes, my love you didn't need to coax
Oh, Maggie I couldn't have tried any more
You lured me away from home, just to save you from being alone
You stole my soul and that's a pain I can do without
All I needed was a friend to lend a guiding hand
But you turned into a lover and
Mother what a lover, you wore me out
All you did was wreck my bed
And in the morning kick me in the head
Oh Maggie I couldn't have tried anymore
You lured me away from home 'cause you didn't want to be alone
You stole my heart I couldn't leave you if I tried
I suppose I could collect my books and get on back to school
Or steal my daddy's cue and make a living out of playing pool
Or find myself a rock and roll band that needs a helpin' hand
Oh Maggie I wish I'd never seen your face
You made a first class fool out of me
But I'm as blind as a fool can be
You stole my heart but I love you anyway
Maggie I wish I'd never seen your face
I'll get on back home one of these, these days"
3,"It's Too Late""/""I Feel the Earth Move",Carole King,1971,258.16,NA,https://www.songlyrics.com/carole-king/its-too-late-lyrics/,"Stayed in bed all mornin' just to pass the time
There's something wrong here there can be no denyin'
One of us is changin' or maybe we've just stopped tryin'
And it's too late baby now it's too late
Though we really did try to make it
Something inside has died and I can't hide it and I just can't fake it
Oh, no-no-no-no
(no-no-no-no)
It used to be so easy livin' here with you
You were light and breezy and I knew just what to do
Now you look so unhappy and I feel like a fool
And it's too late baby now it's too late
Though we really did try to make it
(we can't make it)
Something inside has died and I can't hide it and I just can't fake it
Oh, no-no
Do-do-do-do-do
(la-la-la-la-la)
There'll be good times again for me and you
But we just can't stay together don't you feel it too?
Still I'm glad for what we had and how I once loved you
But it's too late baby now it's too late
Though we really did try to make it
(we can't make it now)
Something inside has died and I can't hide it and I just can't fake it
Oh, no-no-no-no-no
It's too late
Baby
It's too late
Now darlin'
It's too l-a-t-e..."
1,The First Time Ever I Saw Your Face,Roberta Flack,1972,260.666,adult standards,https://www.songlyrics.com/roberta-flack/the-first-time-ever-i-saw-your-face-lyrics/,"The first time ever I saw your face
I thought the sun rose in your eyes
And the moon and the stars were the gifts you gave
To the dark and the endless skies, my love
To the dark and the endless skies
And the first time ever I kissed your mouth
I felt the earth move in my hands
Like the trembling heart of a captive bird
That was there at my command, my love
That was there at my command, my love
And the first time ever I lay with you
I felt your heart so close to mine
And I knew our joy would fill the earth
And last till the end of time, my love
And it will last till the end of time, my love
The first time ever I saw your face, your face
Your face, your face"
2,Alone Again (Naturally),Gilbert O'Sullivan,1972,221.373,NA,https://www.songlyrics.com/gilbert-osullivan/alone-again-naturally-lyrics/,NA
3,American Pie,Don McLean,1972,516.893,NA,https://www.songlyrics.com/don-mclean/american-pie-lyrics/,"A long, long time ago, I can still remember
How that music used to make me smile
And I knew if I had my chance
That I could make those people dance
And maybe they'd be happy for a while
But February made me shiver, with every paper I'd deliver
Bad news on the doorstep, I couldn't take one more step
I can't remember if I cried, when I read about his widowed bride
But something touched me deep inside the day the music died
So bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
And them good old boys were drinking whiskey and rye
Singing this'll be the day that I die
This'll be the day that I die
Did you write the book of love
And do you have faith in God above
If the Bible tells you so?
Now do you believe in rock and roll?
Can music save your mortal soul?
And can you teach me how to dance real slow?
Well, I know that you're in love with him
'Cause I saw you dancing in the gym
You both kicked off your shoes
Man, I dig those rhythm and blues
I was a lonely teenage broncin' buck
With a pink carnation and a pickup truck
But I knew I was out of luck
The day the music died
I started singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die
Now, for ten years we've been on our own
And moss grows fat on a rolling stone
But that's not how it used to be
When the jester sang for the king and queen
In a coat he borrowed from James Dean
And a voice that came from you and me
Oh, and while the king was looking down
The jester stole his thorny crown
The courtroom was adjourned
No verdict was returned
And while Lenin read a book on Marx
The quartet practiced in the park
And we sang 'Dirges In The Dark'
The day the music died
We were singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die
Helter skelter in a summer swelter
The birds flew off with a fallout shelter
Eight miles high and falling fast
Landed foul on the grass
The players tried for a forward pass
With the jester on the sidelines in a cast
Now the half time air was sweet perfume
While sergeants played a marching tune
We all got up to dance
Oh, but we never got the chance
'Cause the players tried to take the field
The marching band refused to yield
Do you recall what was revealed
The day the music died?
We started singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die
Oh, and there we were all in one place
A generation lost in space
With no time left to start again
So come on Jack be nimble, Jack be quick
Jack Flash sat on a candlestick
'Cause fire is the devil's only friend
Oh, and as I watched him on the stage
My hands were clenched in fists of rage
No angel born in hell
Could break that Satan's spell
And as the flames climbed high into the night
To light the sacrificial rite
I saw Satan laughing with delight
The day the music died
He was singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
And singing this'll be the day that I die
This'll be the day that I die
I met a girl who sang the blues
And I asked her for some happy news
But she just smiled and turned away
I went down to the sacred store
Where I'd heard the music years before
But the man there said the music wouldn't play
And in the streets the children screamed
The lovers cried and the poets dreamed
But not a word was spoken
The church bells all were broken
And the three men I admire most
The Father, Son and the Holy Ghost
They caught the last train for the coast
The day the music died
And they were singing bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
Singing this'll be the day that I die
This'll be the day that I die
They were singing, bye, bye Miss American Pie
Drove my Chevy to the levee but the levee was dry
Them good old boys were drinking whiskey and rye
Singing this'll be the day that I die"
1,Tie a Yellow Ribbon Round the Ole Oak Tree,Tony Orlando and Dawn,1973,201.174,NA,https://www.songlyrics.com/tony-orlando-and-dawn/tie-a-yellow-ribbon-round-the-ole-oak-tree-lyrics/,We do not have the lyrics for Tie a Yellow Ribbon Round the Ole Oak Tree (In the Style of Dawn and Tony Orlando) [Karaoke Version] yet.
2,"Bad, Bad Leroy Brown",Jim Croce,1973,179.466,folk rock,https://www.songlyrics.com/jim-croce/bad-bad-leroy-brown-lyrics/,"Well the South side of Chicago
Is the baddest part of town
And if you go down there
You better just beware of a man named Leroy Brown
Now Leroy, more than trouble
You see he stand 'bout six foot four
All the downtown ladies call him Treetop Lover
All the men just call him Sir
And it's bad, bad Leroy Brown
The baddest man in the whole damned town
Badder than old King Kong
And meaner than a junkyard dog
Now Leroy, he a gambler
And he like his fancy clothes
And he like to wave his diamond rings
In front of everybody's nose
He got a custom Continental
He got an Eldorado too
He got a .32 gun in his pocket for fun
He got a razor in his shoe
And it's bad, bad Leroy Brown
The baddest man in the whole damned town
Badder than old King Kong
And meaner than a junkyard dog
Well, Friday 'bout a week ago
Leroy shootin' dice
And at the edge of the bar
Sat a girl named Doris and ooh, that girl looked nice
Well, he cast his eyes upon her
And the trouble soon began
'Cause Leroy Brown learned a lesson
'Bout messin' with the wife of a jealous man
And it's bad, bad Leroy Brown
The baddest man in the whole damned town
Badder than old King Kong
And meaner than a junkyard dog
Well, the two men took to fighting
And when they pulled them from the floor
Leroy looked like a jigsaw puzzle
With a couple of pieces gone
And it's bad, bad Leroy Brown
The baddest man in the whole damned town
Badder than old King Kong
And meaner than a junkyard dog
And it's bad, bad Leroy Brown
The baddest man in the whole damned town
Badder than old King Kong
And meaner than a junkyard dog
Yeah, badder than old King Kong
And meaner than a junkyard dog"
3,Killing Me Softly with His Song,Roberta Flack,1973,286.92,adult standards,https://www.songlyrics.com/roberta-flack/killing-me-softly-with-his-song-lyrics/,"Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song
I heard he sang a good song, I heard he had a style
And so I came to see him to listen for a while
And there he was this young boy, a stranger to my eyes
Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song
I felt all flushed with fever, embarrassed by the crowd
I felt he found my letters and read each one out loud
I prayed that he would finish but he just kept right on
Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song
He sang as if he knew me in all my dark despair
And then he looked right through me as if I wasn't there
And he just kept on singing, singing clear and strong
Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song
Strumming my pain with his fingers
Singing my life with his words
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me
He was strong in my face
Yeah he was seeing my life
Killing me softly with his song
Killing me softly with his song
Telling my whole life with his words
Killing me softly with his song"
1,The Way We Were,Barbra Streisand,1974,211.093,adult standards,https://www.songlyrics.com/barbra-streisand/the-way-we-were-lyrics/,"Memories
Light the corners of my mind
Misty watercolor memories
Of the way we were
Scattered pictures
Of the smiles we left behind
Smiles we gave to one another
For the way we were
Can it be that it was all so simple then
Or has time rewritten every line
If we had the chance to do it all again
Tell me would we, could we
Memories
May be beautiful and yet
What's too painful to remember
We simply choose to forget
So it's the laughter
We will remember
Whenever we remember
The way we were
The way we were"
2,Seasons in the Sun,Terry Jacks,1974,208.853,NA,https://www.songlyrics.com/terry-jacks/seasons-in-the-sun-lyrics/,"Goodbye Emil, my trusted friend
We've known each other since we were nine or ten
Together we climbed hills and trees
Learned of love and A, B, C's
Skinned our hearts and skinned our knees
Goodbye Emil, it's hard to die
When all the bird's are singing in the sky
Now that the spring is in the air
Pretty girls are everywhere
I wish we could both be there
We had joy, we had fun
We had seasons in the sun
But the hills we could climb
Were just seasons out of time
Goodbye Papa, please pray for me
I was the black sheep of the family
You tried to show me right from wrong
But too much wine and too much song
Wonder how I got along
Goodbye Papa, it's hard to die
When all the bird's are singing in the sky
Now that the spring is in the air
Little kids are everywhere
Think of me and I'll be there
We had joy, we had fun
We had seasons in the sun
But the wine and the song
Like the seasons have all gone
Goodbye Francoise, my trusted wife
Without you I'd had a lonely life
You cheated lots of times with them
But I forgave you in the end
Though your lover was my friend
Goodbye Francoise, it's hard to die
When all the birds are singing in the sky
Now that the spring is in the air
With your lovers everywhere
Just be careful, I'll be there
We had joy, we had fun
We had seasons in the sun
But the stars we could reach
Were just starfish on the beach
Goodbye Michelle, my little one
You gave me joy and helped me find the sun
And every time when I was down
You would always come around
And get my feet back on the ground"
3,Love's Theme,Love Unlimited Orchestra,1974,246.266,philly soul,https://www.songlyrics.com/love-unlimited-orchestra/loves-theme-lyrics/,"Play our love's theme tonight
My love's here, it's no dream tonight
It's been oh so long
Since we've danced to our love song
And I just know the melody that made him mine
Will be the melody that keeps him close to me, Love's theme
Play our love's theme once more
Make him feel, like him felt before
While the lights are low
Please, let the music flow
And I just know that the melody that made him mine
Will be the melody that keeps him close to me, Love's theme
Come on and play our love's theme again
Touch his heart, touch his soul and then
Once we sip the wine
His lips will come to mine
And I just know that the melody that made him mine
Will be the melody that keeps him close to me, Love's theme"
1,Love Will Keep Us Together,Captain & Tennille,1975,205.493,soft rock,https://www.songlyrics.com/captain-and-tennille/love-will-keep-us-together-lyrics/,We do not have the lyrics for Love Will Keep Us Together (Originally Performed by Captain and Tennille) [Karaoke] yet.
2,Rhinestone Cowboy,Glen Campbell,1975,194.453,NA,https://www.songlyrics.com/glen-campbell/rhinestone-cowboy-lyrics/,"I've been walkin' these streets so long
Singin' the same old song
I know every crack in these dirty sidewalks of Broadway
Where hustle's the name of the game
And nice guys get washed away
Like the snow and the rain
There's been a load of compromisin'
On the road to my horizon
But I'm gonna be where the lights are shinin' on me
Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Like a rhinestone cowboy
Getting cards and letters from people I don't even know
And offers comin' over the phone
Well, I really don't mind the rain
And a smile can hide all the pain
But you're down when you're ridin' the train that's takin' the long way
And I dream of the things I'll do
With a subway token
And a dollar tucked inside my shoe
There'll be a load of compromisin'
On the road to my horizon
But I'm gonna be where the lights are shinin' on me
Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Rhinestone cowboy
Gettin' cards and letters from people I don't even know
And offers comin' over the phone
Like a rhinestone cowboy
Riding out on a horse in a star-spangled rodeo
Like a rhinestone cowboy
Gettin' card and letters from people I don't even know"
3,Philadelphia Freedom,Elton John,1975,324.573,NA,https://www.songlyrics.com/elton-john/philadelphia-freedom-lyrics/,"I used to be a rolling stone you know if a cause was right
I'd leave to find the answer on the road
I used to be a heart beating for someone but the times have changed
The less I say the more my work gets done
'Cause I live and breathe this Philadelphia freedom
From the day that I was born I've waved the flag
Philadelphia freedom took me knee high to a man
Yeah, gave me peace of mind my daddy never had
Oh, Philadelphia freedom shine on me and I love you
Shine the light through the eyes of the ones left behind
Shine the light, shine the light, shine the light won't you shine the light
Philadelphia freedom I love you, yes I do
If you choose to you can live your life alone
Some people choose the city
Some others choose the good old family home
I like living easy without family ties
Till the whippoorwill of freedom zapped me right between the eyes
'Cause I live and breathe this Philadelphia freedom
From the day that I was born I've waved the flag
Philadelphia freedom took me knee high to a man
Gave me peace of mind my daddy never had
Oh, Philadelphia freedom shine on me and I love you
Shine the light through the eyes of the ones left behind
Shine the light, shine the light, shine the light, won't you shine the light?
Philadelphia freedom I love you, yes I do
Oh, Philadelphia freedom shine on me and I love you
Shine the light through the eyes of the ones left behind
Shine the light, shine the light, shine the light, won't you shine the light?
Philadelphia freedom I love, you know I love
You know I love you, yes I do
Philadelphia freedom
I love you, yes I do
Philadelphia freedom
You know that I love you, yes I do
Philadelphia freedom
Don't you know that I love you, yes I do
Philadelphia freedom
Don't you know that I love you, yes I do
Philadelphia freedom
Don't you know that I love you, yes I do"
1,Silly Love Songs,Wings,1976,354.266,NA,https://www.songlyrics.com/wings/silly-love-songs-lyrics/,"You'd think that people would have had enough of silly love songs
I look around me and I see it isn't so
Some people want to fill the world with silly love songs
And what's wrong with that?
I'd like to know
'Cause here I go again
I love you, I love you
I love you, I love you
I can't explain the feeling's plain to me; can't you see?
Ah, she gave me more, she gave it all to me now can't you see?
What's wrong with that?
I need to know
'Cause here I go again
I love you, I love you
Love doesn't come in a minute
Sometimes it doesn't come at all
I only know that when I'm in it
It isn't silly, love isn't silly, love isn't silly at all
How can I tell you about my loved one?
How can I tell you about my loved one?
""I love you"" over Paul's ""How can I tell you about my loved one?""
""I love you"" over Paul's ""How can I tell you about my loved one?""
I love you
I love you
""I can't explain the feeling's plain to me, say can't you see?""
""I love you""
""Ah, he gave me all, he gave it all to me to me, say can't you see?""
""I love you""
""I can't explain the feeling's plain to me, say can't you see?""
""How can I tell you about my loved one?""
""Ah, he gave me all, he gave it all to me to me say can't you see?""
""How can I tell you about my loved one?""
""I can't explain the feeling's plain to me, say can't you see?""
""How can I tell you about my loved one?""
""Ah, he gave me all, he gave it all to me to me say can't you see?""
""How can I tell you about my loved one?""
You'd think that people would have had enough of silly love songs
I look around me and I see it isn't so, oh no
Some people want to fill the world with silly love songs
What's wrong with that?"
2,Don't Go Breaking My Heart,Elton John & Kiki Dee,1976,275.44,NA,https://www.songlyrics.com/elton-john-and-kiki-dee/dont-go-breaking-my-heart-lyrics/,NA
3,Disco Lady,Johnnie Taylor,1976,267.066,blues,https://www.songlyrics.com/johnnie-taylor/disco-lady-lyrics/,"Shake it up, shake it down
Move it in, move it round, disco lady
Move it in, move it out
Move it in and about disco lady
Shake it up, shake it down
Move it in, move it around, disco lady
Hey sexy lady
Said I like the way you move your thang, Lord, have mercy girl
you dance so fine, and you're right on time
Girl you ought to be on TV on soul train
When you get the groove, it ain't no stoppin'
Just can't help it, but I'm, I'm finger pop-pin
Shake it up, shake it down
Move it in, move it round, disco lady
Move it in, move it out
Move it in and about, disco lady
Shake it baby, shake it
Baby, shake your thang
Shake it baby, shake it
Baby, shake your thang
You got me groovin', I feel like movin'
You got me lovin' can't sit still I'm groovin'
I like that funky stuff
Shake it up, shake it down
Move it in, move it round, disco lady
Shove it in, move it out
Move it in and about, disco lady
Hey sexy lady!
Girl, you drive me crazy
You dance so fine and you're right on time
Girl, you're driving me out of my mind
If it wasn't for the girl sittin' next to me
I'd jump right up and out-ta my safety seat
You got me hypnotized, soul mesmo-ized
Girl, your movin' me girl your groovin' me
Shake it baby, shake it
Shake it baby, shake it
Shake it baby, shake it
Shake it baby, shake it
Shake it baby, shake it
Shake it baby, shake it
Shake it baby, shake it
Shake it baby, shake it
Shake it up, shake it down
Move it in, move it round, disco lady
Move it in, move it out
Shove it in and about, disco lady
Shake it up, shake it down
Move it in, move it round, disco lady
Move it in, move it out
Shove it in and about, disco lady
Shake it up, shake it down
Move it in, move it round, disco lady"
1,Tonight's the Night (Gonna Be Alright),Rod Stewart,1977,237.12,soft rock,https://www.songlyrics.com/rod-stewart/tonights-the-night-gonna-be-alright-lyrics/,"Stay away from my window
Stay away from my back door too
Disconnect the telephone line
Relax baby and draw that blind
Kick off your shoes and sit right down
Loosen off that pretty French gown
Let me pour you a good long drink
Ooh baby don't you hesitate cause
Tonights the night
It's gonna be alright
Cause I love you girl
Ain't nobody gonna stop us now
C'mon angel my hearts on fire
Don't deny your man's desire
You'd be a fool to stop this tide
Spread your wings and let me come inside
Tonights the night
It's gonna be alright
Cause I love you girl
Ain't nobody gonna stop us now
Don't say a word my virgin child
Just let your inhibitions run wild
The secret is about to unfold
Upstairs before the night's too old
Tonights the night
It's gonna be alright
Cause I love you woman
Ain't nobody gonna stop us now"
2,I Just Want to Be Your Everything,Andy Gibb,1977,225.666,NA,https://www.songlyrics.com/andy-gibb/i-just-want-to-be-your-everything-lyrics/,"For so long
You and me been finding each other for so long
And the feeling that I feel for you is more than strong , girl
Take it from me If you give a little more than you're asking for your love will turn the key
Darling mine I would wait forever for those lips of wine
Build my world around you , darling
This love will shine girl
Watch it and see
If you give a little more than you're asking for your love will turn the key
I , I just want to be your ev'rything
Open up the heaven in your heart and let me be
The things you are to me and not some puppet on a string
Oh , if I stay here without you , darling ,I will die
I want you laying in the love I have to bring
I'd do anything to be your ev'rything
Darling for so long
You and me been finding each other for so long
And the feeling that I feel for you is more than strong girl
Take it from me If you give a little more than you're asking for your love will turn the key
I , I just want to be your ev'rything
Open up the heaven in your heart and let me be
The things you are to me and not some puppet on a string
Oh, if I stay here without you , darling , I will die
I want you laying in the love I have to bring
I'd do anything to be your ev'rything
Darling for so long
You and me been finding each other for so long
And the feeling that I feel for you is more than strong girl
Take it from me If you give a little more than you're asking for your love will turn the key"
3,Best of My Love,The Emotions,1977,220.56,disco,https://www.songlyrics.com/the-emotions/best-of-my-love-lyrics/,"Doesn't take much to make me happy
And make me smile with glee
Never, never will I feel discouraged
'Cause our love's no mystery
Demonstrating love and affection
That you give so openly, yeah
I like the way it makes me feel about you, baby
Want the whole wide world to see
Whoa whoa, you got the best of my love
Whoa whoa, you got the best of my love
Whoa whoa, you got the best of my love
Whoa whoa, you've got the best of my love
Going in and out of changes
The kind that come around each day
My life has a better meaning
Love has kissed me in a beautiful way
oooh yeah, my love, my love
oooh, oooh yeah, my love, my love
Ooh, oh oh oh oh oh
Oh, you've got the best of my love
Whoa whoa, you've got the best of my love
Whoa whoa, you've got the best of my love
Whoa whoa, you've got the best of my love
Demonstrating sweet love and affection
That you give so openly, yeah
The way I feel about ya, baby can't explain it
Want the whole wide world to see
Oh, but in my heart, you're all I need
You for me, me for you
Oh, it's growin' every day, ooh
Oh, oh oh oh oh oh
You've got the best of my love
Oh, oh oh oh oh oh
You've got the best of my love
Oh, givin' you the best of my love
my love, my love, my love
Oh, givin' you the best of my love
my love, my love, my love
Oh, oh oh oh oh oh
You've got the best of my love
Oh, oh oh oh oh oh
You've got the best of my love
Oh, givin' you the best of my love
Oh, givin' you the best of my love"
1,Shadow Dancing,Andy Gibb,1978,276,NA,https://www.songlyrics.com/andy-gibb/shadow-dancing-lyrics/,"You got me lookin' at that Heaven in your eyes
I was chasing your direction, I was tellin' you no lies
And I was loving you when the words you said
Baby, I lose my head
And in a world of people there's only you and I
There ain't nothing come between us in the end
How can I hold you when you ain't even mine?
Only you can see me through, I leave it up to you
Do it light, taking me through the night
Shadow dancing, baby, you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothin' more
All that I need is just one moment in your arms
I was chasing your affection, I was doing you no harm
And I was loving you, make it shine, make it rain
Baby, I know my way
I need that sweet sensation of living in your love
I can't breathe when you're away, it pulls me down
You are the question and the answer am I
Only you can see me through, I leave it up to you
Do it light, taking me through the night
Shadow dancing, baby, you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothin' more
And in this world of people there's only you and I
There ain't nothing come between us in the end
How can I hold you when you ain't even mine?
Only you can see me through, I leave it up to you
Do it light, taking me through the night
Shadow dancing, baby, you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothing more
Do it light, taking me through the night
Shadow dancing, baby, you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothing more
Do it light, taking me through the night
Shadow dancing, baby, you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothing more
Do it light, taking me through the night
Shadow dancing, baby, you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothing more
Do it light, taking me through the night
Shadow dancing, baby, you do it right
Give me more, drag me across the floor
Shadow dancing, all this and nothing more"
